method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
SmoothOracleV2_B10,JILONG_EI_0019,640,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,650,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,660,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,670,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,680,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,690,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,700,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,710,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,720,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,730,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,740,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,750,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,760,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,770,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,780,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,790,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,800,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,810,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,820,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,830,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,840,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,850,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,860,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,870,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,880,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,890,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,900,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,910,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,920,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,930,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,940,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,950,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,960,0.1,19,182,0.10529822116378618
