method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
SmoothOracleV2_B20,JILONG_EI_0029,940,1468.6754150390625,0.7229406937999265,1.0,1.0,1.0,1.0,1.0,738.328369140625,393.5997619628906,336.74725341796875
SmoothOracleV2_B20,JILONG_EI_0029,950,1479.046630859375,0.7205663896012425,1.0,1.0,1.0,1.0,1.0,741.18505859375,393.3157958984375,344.54571533203125
SmoothOracleV2_B20,JILONG_EI_0029,960,1490.9495849609375,0.7174671011427284,1.0,1.0,1.0,1.0,1.0,746.4214477539062,391.42938232421875,353.09881591796875
SmoothOracleV2_B20,JILONG_EI_0029,970,1500.5361328125,0.7133856633949854,1.0,1.0,1.0,1.0,1.0,750.7774658203125,391.4627685546875,358.29571533203125
SmoothOracleV2_B20,JILONG_EI_0029,980,1510.622314453125,0.7107299754850304,1.0,1.0,1.0,1.0,1.0,753.8660888671875,391.8183898925781,364.93792724609375
SmoothOracleV2_B20,JILONG_EI_0029,990,1521.0888671875,0.7080981451030441,1.0,1.0,1.0,1.0,1.0,758.6818237304688,392.4804382324219,369.92645263671875
SmoothOracleV2_B20,JILONG_EI_0029,1000,1534.1488037109375,0.7057875368066715,1.0,1.0,1.0,1.0,1.0,761.7180786132812,391.2899169921875,381.14080810546875
SmoothOracleV2_B20,JILONG_EI_0029,1010,1543.944091796875,0.7034980675380355,1.0,1.0,1.0,1.0,1.0,766.7965087890625,390.8387145996094,386.308837890625
SmoothOracleV2_B20,JILONG_EI_0029,1020,1554.416259765625,0.7009700708245881,1.0,1.0,1.0,1.0,1.0,772.4869384765625,385.86578369140625,396.0635681152344
SmoothOracleV2_B20,JILONG_EI_0029,1030,1563.847412109375,0.6975948795835274,1.0,1.0,1.0,1.0,1.0,772.8422241210938,387.843505859375,403.1615295410156
SmoothOracleV2_B20,JILONG_EI_0029,1040,1574.398681640625,0.6955432967086451,1.0,1.0,1.0,1.0,1.0,777.0454711914062,387.757080078125,409.59619140625
SmoothOracleV2_B20,JILONG_EI_0029,1050,1587.94091796875,0.693555225372375,1.0,1.0,1.0,1.0,1.0,780.503173828125,388.5107116699219,418.92706298828125
SmoothOracleV2_B20,JILONG_EI_0029,1060,1599.61279296875,0.6919859827880948,1.0,1.0,1.0,1.0,1.0,785.193603515625,387.70562744140625,426.7135314941406
SmoothOracleV2_B20,JILONG_EI_0029,1070,1610.984619140625,0.6904667046891478,1.0,1.0,1.0,1.0,1.0,790.3612060546875,386.6860046386719,433.9373779296875
SmoothOracleV2_B20,JILONG_EI_0029,1080,1620.197021484375,0.688679595126374,1.0,1.0,1.0,1.0,1.0,792.7294311523438,384.21612548828125,443.25146484375
SmoothOracleV2_B20,JILONG_EI_0029,1090,1630.571044921875,0.6871927724336883,1.0,1.0,1.0,1.0,1.0,796.6298828125,381.84979248046875,452.09136962890625
SmoothOracleV2_B20,JILONG_EI_0029,1100,1640.1240234375,0.685038292540861,1.0,1.0,1.0,1.0,1.0,798.788818359375,382.15338134765625,459.18157958984375
SmoothOracleV2_B20,JILONG_EI_0029,1110,1651.5196533203125,0.6833998036674429,1.0,1.0,1.0,1.0,1.0,802.550048828125,382.39276123046875,466.5768737792969
SmoothOracleV2_B20,JILONG_EI_0029,1120,1662.94921875,0.6821666096151628,1.0,1.0,1.0,1.0,1.0,801.5460815429688,384.7085876464844,476.6945495605469
SmoothOracleV2_B20,JILONG_EI_0029,1130,1672.909423828125,0.6807571183798184,1.0,1.0,1.0,1.0,1.0,805.5194091796875,383.914794921875,483.4753112792969
SmoothOracleV2_B20,JILONG_EI_0029,1140,1683.6322021484375,0.6792761588222604,1.0,1.0,1.0,1.0,1.0,809.1676025390625,382.0559997558594,492.4086608886719
SmoothOracleV2_B20,JILONG_EI_0029,1150,1692.649169921875,0.6774024196643506,1.0,1.0,1.0,1.0,1.0,810.5870361328125,383.99786376953125,498.0643005371094
SmoothOracleV2_B20,JILONG_EI_0029,1160,1703.2333984375,0.676335591395119,1.0,1.0,1.0,1.0,1.0,812.451171875,384.0009765625,506.78125
SmoothOracleV2_B20,JILONG_EI_0029,1170,1714.088134765625,0.6745013250797958,1.0,1.0,1.0,1.0,1.0,813.225341796875,385.4094543457031,515.4534301757812
SmoothOracleV2_B20,JILONG_EI_0029,1180,1726.4476318359375,0.6730615044510037,1.0,1.0,1.0,1.0,1.0,814.662109375,385.4613037109375,526.32421875
SmoothOracleV2_B20,JILONG_EI_0029,1190,1739.690185546875,0.6722505741843091,1.0,1.0,1.0,1.0,1.0,812.418701171875,387.6134033203125,539.657958984375
SmoothOracleV2_B20,JILONG_EI_0029,1200,1752.7791748046875,0.6710008637097088,1.0,1.0,1.0,1.0,1.0,813.5120239257812,387.95172119140625,551.3154907226562
SmoothOracleV2_B20,JILONG_EI_0029,1210,1763.943359375,0.6695962218453536,1.0,1.0,1.0,1.0,1.0,816.8702392578125,383.936767578125,563.1363525390625
SmoothOracleV2_B20,JILONG_EI_0029,1220,1772.4847412109375,0.6667843712681424,1.0,1.0,1.0,1.0,1.0,817.844970703125,383.9558410644531,570.6840209960938
SmoothOracleV2_B20,JILONG_EI_0029,1230,1788.1160888671875,0.6650919468971562,1.0,1.0,1.0,1.0,1.0,817.099853515625,384.3655700683594,586.6505737304688
SmoothOracleV2_B20,JILONG_EI_0029,1240,1800.2838134765625,0.6631806172225171,1.0,1.0,1.0,1.0,1.0,820.1915893554688,385.8376770019531,594.25439453125
SmoothOracleV2_B20,JILONG_EI_0029,1250,1812.148681640625,0.6616287422642237,1.0,1.0,1.0,1.0,1.0,822.9631958007812,387.06561279296875,602.119873046875
SmoothOracleV2_B20,JILONG_EI_0029,1260,1825.4906005859375,0.6600492460988077,1.0,1.0,1.0,1.0,1.0,825.0244140625,387.172119140625,613.2940673828125
SmoothOracleV2_B20,JILONG_EI_0029,1270,1838.726806640625,0.657698229063646,1.0,1.0,1.0,1.0,1.0,827.832763671875,386.4783935546875,624.4156494140625
SmoothOracleV2_B20,JILONG_EI_0029,1280,1851.9375,0.6557840785903982,1.0,1.0,1.0,1.0,1.0,830.497802734375,386.5906066894531,634.8489990234375
SmoothOracleV2_B20,JILONG_EI_0029,1290,1865.852294921875,0.6537906019680143,1.0,1.0,1.0,1.0,1.0,835.6426391601562,388.31005859375,641.8997192382812
SmoothOracleV2_B20,JILONG_EI_0029,1300,1878.6802978515625,0.6509823849693247,1.0,1.0,1.0,1.0,1.0,840.6447143554688,389.47015380859375,648.5654296875
SmoothOracleV2_B20,JILONG_EI_0029,1310,1892.951904296875,0.6485239351418238,1.0,1.0,1.0,1.0,1.0,845.1697387695312,388.93975830078125,658.8424682617188
SmoothOracleV2_B20,JILONG_EI_0029,1320,1908.29150390625,0.6465418104218614,1.0,1.0,1.0,1.0,1.0,851.6067504882812,389.61383056640625,667.0709228515625
SmoothOracleV2_B20,JILONG_EI_0029,1330,1923.1773681640625,0.6439974340597923,1.0,1.0,1.0,1.0,1.0,855.2672119140625,390.32501220703125,677.585205078125
SmoothOracleV2_B20,JILONG_EI_0029,1340,1935.6649169921875,0.642201795087946,1.0,1.0,1.0,1.0,1.0,859.39404296875,391.34222412109375,684.9286499023438
SmoothOracleV2_B20,JILONG_EI_0029,1350,1949.790771484375,0.6400007394004346,1.0,1.0,1.0,1.0,1.0,863.65234375,392.382568359375,693.7559814453125
SmoothOracleV2_B20,JILONG_EI_0029,1360,1963.96142578125,0.6379245459039377,1.0,1.0,1.0,1.0,1.0,867.6029052734375,393.0689392089844,703.28955078125
SmoothOracleV2_B20,JILONG_EI_0029,1370,1976.909912109375,0.6358286142552537,1.0,1.0,1.0,1.0,1.0,872.3524169921875,394.03082275390625,710.526611328125
SmoothOracleV2_B20,JILONG_EI_0029,1380,1991.083251953125,0.6340156372054844,1.0,1.0,1.0,1.0,1.0,877.200927734375,395.73236083984375,718.14990234375
SmoothOracleV2_B20,JILONG_EI_0029,1390,2006.440673828125,0.6316833682588434,1.0,1.0,1.0,1.0,1.0,879.5068969726562,396.84771728515625,730.0861206054688
SmoothOracleV2_B20,JILONG_EI_0029,1400,2020.178955078125,0.6297680711483482,1.0,1.0,1.0,1.0,1.0,884.0264892578125,398.1368408203125,738.0155639648438
SmoothOracleV2_B20,JILONG_EI_0029,1410,2033.4559326171875,0.6279506341655009,1.0,1.0,1.0,1.0,1.0,888.4456787109375,399.0536804199219,745.9566650390625
SmoothOracleV2_B20,JILONG_EI_0029,1420,2047.3192138671875,0.626126093994445,1.0,1.0,1.0,1.0,1.0,892.4307861328125,399.9989013671875,754.8894653320312
SmoothOracleV2_B20,JILONG_EI_0029,1430,2059.462158203125,0.6245818246521242,1.0,1.0,1.0,1.0,1.0,894.6153564453125,400.52587890625,764.3209838867188
SmoothOracleV2_B20,JILONG_EI_0029,1440,2072.153076171875,0.6232901247171322,1.0,1.0,1.0,1.0,1.0,898.3889770507812,401.6475830078125,772.116455078125
SmoothOracleV2_B20,JILONG_EI_0039,10,29.545621871948242,0.9966842645978505,1.0,1.0,1.0,1.0,1.0,22.335548400878906,6.953255653381348,0.25681811571121216
SmoothOracleV2_B20,JILONG_EI_0039,20,55.9903450012207,0.9971339228155083,1.0,1.0,1.0,1.0,1.0,47.124961853027344,8.639057159423828,0.22632725536823273
