case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,16490.17839452235,0.8367477822775362,65.45366277291912,39.05223694432919,31.7407504843566,24193494.32647877,17587927.31048537,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,16670.178394522165,0.8458813766636244,64.55113604218127,37.038254607719665,30.755210002554502,24986120.436158683,18794714.626650423,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,16770.178394522423,0.850955595767025,64.58035010860567,36.690665961254105,29.520276755415697,25650793.797898382,19777053.983253114,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,16809.37221980626,0.8529443763369258,62.55333653445789,35.492837242379814,27.65826447307745,26191598.472622987,20640837.227510557,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,17208.954505154194,0.8732200569938031,63.14462387373774,34.39986256737034,26.845510731365398,26601641.32141002,21356879.332777742,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,17388.954505154434,0.8823536513799128,67.93493736845605,33.006904871098286,25.987352570767804,26923919.501713946,21823033.813843437,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,2768.28905749058,0.14046905219217362,43.19566150036177,50.519934096674,50.33399648441255,10794154.86526595,803317.8861923448,False,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,6544.00403055726,0.33205710264498645,50.49101483106824,51.723960363605784,50.802900150074066,13677888.066494925,3754411.6521190605,False,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,11817.313119347848,0.5996363598090693,46.70359497509203,51.51838452596874,50.237508187201506,18889425.740988687,9615037.254016194,False,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,15133.422714979562,0.7679030263998807,83.22415378457006,41.8084240587089,38.60214092082945,22536823.829788294,14502336.606525324,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,15893.422714979746,0.8064670915856353,72.53817810397965,41.61291809061261,35.77401221259952,23266541.063624106,15564772.033760052,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,16350.17839452217,0.8296438755327845,66.43999684352993,41.40740483062417,30.938797837264126,23554223.17083597,16106876.204595637,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,16670.178394522165,0.8458813766636244,65.68344377536881,32.13506816624151,26.69541273162637,23679992.326403763,16356624.366366522,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,16770.178394522423,0.850955595767025,63.77361872929942,29.853743901156033,24.81255140155815,23753531.488784373,16488353.885433663,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,17168.954505154496,0.8711903693524634,62.57356335040949,29.385445909120183,23.481685502556253,23796186.28216223,16632805.35832198,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,17308.954505154354,0.8782942760971988,65.49779962479148,28.097554528776087,22.414403766071054,23829070.527044553,16632477.356345356,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,17488.954505154252,0.8874278704832911,69.138584854827,28.509560035724,21.278419481993524,23864795.70393293,16657192.705314096,True,False
RECON_B_rate030,10000000.0,8.0,0.3,38.0,0.025,17888.95450515447,0.9077247468968523,71.14779368317741,29.751507037421632,20.39224602272465,23902131.08039562,16519189.851374522,True,False
RECON_B_rate040,10000000.0,8.0,0.4,38.0,0.025,2768.28905749058,0.14046905219217362,43.39423082831578,50.30640107583769,50.24099998372398,11044573.055207219,1059311.065379749,False,False
