chainage_m,x,y,z30,z32,z64
13840.0,344414.9299091273,3133373.111999052,2152.9277,2157.3503,2171.993896
13850.0,344415.6179594065,3133363.135697793,2152.9277,2165.4875,2171.993896
13860.0,344416.3060096858,3133353.159396534,2160.1147,2165.4875,2171.993896
13870.0,344416.9940599651,3133343.183095275,2160.1147,2165.4875,2171.993896
13880.0,344417.68211024435,3133333.2067940156,2160.1147,2169.6099,2176.979004
13890.0,344418.3701605236,3133323.2304927567,2161.4065,2169.6099,2176.979004
13900.0,344419.0582108029,3133313.2541914973,2161.4065,2169.6099,2176.979004
13910.0,344419.7462610822,3133303.2778902384,2161.4065,2163.7837,2176.979004
13920.0,344420.43431136146,3133293.301588979,2154.481,2163.7837,2176.979004
13930.0,344421.12236164074,3133283.32528772,2154.481,2163.7837,2176.979004
13940.0,344421.81041192,3133273.348986461,2154.481,2153.9622,2159.205078
13950.0,344422.4984621993,3133263.372685202,2146.7556,2153.9622,2159.205078
13960.0,344423.18651247857,3133253.3963839426,2146.7556,2153.9622,2159.205078
13970.0,344423.87456275785,3133243.420082683,2146.7556,2149.058,2159.205078
13980.0,344424.5626130371,3133233.4437814243,2144.0369,2149.058,2159.205078
13990.0,344425.2506633164,3133223.467480165,2144.0369,2149.058,2159.205078
14000.0,344425.9387135956,3133213.491178906,2144.0369,2149.058,2159.205078
14010.0,344426.6267638749,3133203.5148776467,2144.0686,2147.794,2151.144287
14020.0,344427.3148141542,3133193.538576388,2144.0686,2147.794,2151.144287
14030.0,344428.00286443345,3133183.5622751284,2144.0686,2147.794,2151.144287
14040.0,344428.69091471273,3133173.5859738695,2141.6511,2144.1555,2151.144287
14050.0,344429.378964992,3133163.60967261,2141.6511,2144.1555,2151.144287
14060.0,344430.0670152713,3133153.6333713513,2141.6511,2143.331,2148.309326
14070.0,344430.75506555056,3133143.657070092,2138.7183,2142.615,2149.625
14080.0,344431.44311582984,3133133.680768833,2138.7183,2142.615,2149.625
14090.0,344432.1311661091,3133123.7044675737,2138.7183,2142.615,2149.625
14100.0,344432.8192163884,3133113.728166315,2135.638,2142.1777,2149.625
14110.0,344433.5072666677,3133103.7518650554,2135.638,2142.1777,2149.625
14120.0,344434.19531694695,3133093.775563796,2135.638,2142.1777,2149.625
