i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
128,1,340110.000000,3127548.000000,1921.0813,19500.000000,2135.654754,1819.306000,101.775300,0
129,1,340174.000000,3127548.000000,1882.89026,19500.000000,2123.537485,1819.306000,63.584260,0
130,1,340238.000000,3127548.000000,1818.84644,19500.000000,2113.289775,1819.306000,-0.459560,0
131,1,340302.000000,3127548.000000,1761.71191,19500.000000,2104.938930,1819.306000,-57.594090,0
132,1,340366.000000,3127548.000000,1740.21741,19500.000000,2098.507594,1819.306000,-79.088590,0
133,1,340430.000000,3127548.000000,1750.25964,19500.000000,2094.013454,1819.306000,-69.046360,0
134,1,340494.000000,3127548.000000,1765.17981,19500.000000,2091.468998,1819.306000,-54.126190,0
135,1,340558.000000,3127548.000000,1781.57507,19500.000000,2090.881343,1819.306000,-37.730930,0
136,1,340622.000000,3127548.000000,1806.16882,19500.000000,2092.252140,1819.306000,-13.137180,0
137,1,340686.000000,3127548.000000,1825.70874,19500.000000,2095.577543,1819.306000,6.402740,0
138,1,340750.000000,3127548.000000,1836.18652,19500.000000,2100.848272,1819.306000,16.880520,0
139,1,340814.000000,3127548.000000,1841.35522,19500.000000,2108.049735,1819.306000,22.049220,0
140,1,340878.000000,3127548.000000,1848.91895,19500.000000,2117.162230,1819.306000,29.612950,0
141,1,340942.000000,3127548.000000,1863.22119,19500.000000,2128.161209,1819.306000,43.915190,0
142,1,341006.000000,3127548.000000,1887.36707,19500.000000,2141.017598,1819.306000,68.061070,0
143,1,341070.000000,3127548.000000,1922.54004,19500.000000,2155.698165,1819.306000,103.234040,0
144,1,341134.000000,3127548.000000,1957.40747,19500.000000,2172.165925,1819.306000,138.101470,0
145,1,341198.000000,3127548.000000,1970.06738,19500.000000,2190.380567,1819.306000,150.761380,0
146,1,341262.000000,3127548.000000,1959.58215,19500.000000,2210.298905,1819.306000,140.276150,0
147,1,341326.000000,3127548.000000,1945.90698,19500.000000,2231.875327,1819.306000,126.600980,0
148,1,341390.000000,3127548.000000,1939.1449,19500.000000,2255.062238,1819.306000,119.838900,0
149,1,341454.000000,3127548.000000,1948.12988,19500.000000,2279.810501,1819.306000,128.823880,0
150,1,341518.000000,3127548.000000,1975.55811,19500.000000,2306.069848,1819.306000,156.252110,0
151,1,341582.000000,3127548.000000,2034.39282,19500.000000,2333.789273,1819.306000,215.086820,0
152,1,341646.000000,3127548.000000,2102.63843,19500.000000,2362.917390,1819.306000,283.332430,0
153,1,341710.000000,3127548.000000,2175.89307,19500.000000,2393.402769,1819.306000,356.587070,0
154,1,341774.000000,3127548.000000,2245.97266,19500.000000,2425.194227,1819.306000,426.666660,0
155,1,341838.000000,3127548.000000,2308.59375,19500.000000,2458.241092,1819.306000,489.287750,0
156,1,341902.000000,3127548.000000,2347.28809,19509.686871,2492.446950,1817.493552,529.794538,0
157,1,341966.000000,3127548.000000,2358.2168,19524.751000,2527.137879,1814.675000,543.541800,0
158,1,342030.000000,3127548.000000,2347.46655,19524.751000,2562.848339,1814.675000,532.791550,0
159,1,342094.000000,3127548.000000,2354.94946,19524.751000,2599.644083,1814.675000,540.274460,0
160,1,342158.000000,3127548.000000,2371.12378,19524.751000,2637.479689,1814.675000,556.448780,0
161,1,342222.000000,3127548.000000,2380.87109,19524.751000,2676.311054,1814.675000,566.196090,0
162,1,342286.000000,3127548.000000,2392.40063,19524.751000,2716.095471,1814.675000,577.725630,0
163,1,342350.000000,3127548.000000,2415.81519,19524.751000,2756.791679,1814.675000,601.140190,0
164,1,342414.000000,3127548.000000,2455.55762,19524.751000,2798.359897,1814.675000,640.882620,0
