case,time_s,cell_id,h,speed,terrain_z
C5,720,1,91.95267239930594,0.0,2773.6123046875
C5,720,2,77.9082103565813,0.0,2783.94091796875
C5,720,3,49.2551030626182,0.0,2807.7353515625
C5,750,1,91.95267239930594,0.0,2773.6123046875
C5,750,2,77.9082103565813,0.0,2783.94091796875
C5,750,3,49.2551030626182,0.0,2807.7353515625
C5,780,1,91.95267239930594,0.0,2773.6123046875
C5,780,2,77.9082103565813,0.0,2783.94091796875
C5,780,3,49.2551030626182,0.0,2807.7353515625
C5,810,1,91.95267239930594,0.0,2773.6123046875
C5,810,2,77.9082103565813,0.0,2783.94091796875
C5,810,3,49.2551030626182,0.0,2807.7353515625
C5,840,1,91.95267239930594,0.0,2773.6123046875
C5,840,2,77.9082103565813,0.0,2783.94091796875
C5,840,3,49.2551030626182,0.0,2807.7353515625
C5,870,1,91.95267239930594,0.0,2773.6123046875
C5,870,2,77.9082103565813,0.0,2783.94091796875
C5,870,3,49.2551030626182,0.0,2807.7353515625
C5,900,1,91.95267239930594,0.0,2773.6123046875
C5,900,2,77.9082103565813,0.0,2783.94091796875
C5,900,3,49.2551030626182,0.0,2807.7353515625
C6,0,1,0.0,0.0,2773.6123046875
C6,0,2,0.0,0.0,2783.94091796875
C6,0,3,0.0,0.0,2807.7353515625
C6,30,1,6.667014223080591,2.9236282474654973,2773.6123046875
C6,30,2,4.515818746229536,3.379530938614067,2783.94091796875
C6,30,3,4.590642175262449,2.6112440312681007,2807.7353515625
C6,60,1,33.78370901876004,0.0,2773.6123046875
C6,60,2,12.49137501607945,1.8681430931850023,2783.94091796875
C6,60,3,6.947518156861972,0.0,2807.7353515625
C6,90,1,59.36588326058426,0.0,2773.6123046875
C6,90,2,43.21392415354554,0.0,2783.94091796875
C6,90,3,12.01209373332454,0.0,2807.7353515625
C6,120,1,78.61687060622153,0.0,2773.6123046875
C6,120,2,65.93880247356311,0.0,2783.94091796875
C6,120,3,31.63768791360611,0.0,2807.7353515625
C6,150,1,91.46591277354116,0.0,2773.6123046875
C6,150,2,80.7594950234403,0.0,2783.94091796875
C6,150,3,48.85231678811471,0.0,2807.7353515625
C6,180,1,83.1200316615675,0.0,2773.6123046875
C6,180,2,61.63844494794351,0.0,2783.94091796875
C6,180,3,52.23756373265695,0.0,2807.7353515625
C6,210,1,83.12003166156745,0.0,2773.6123046875
C6,210,2,61.63844494794351,0.0,2783.94091796875
C6,210,3,52.23756373265695,0.0,2807.7353515625
C6,240,1,83.12003166156745,0.0,2773.6123046875
C6,240,2,61.63844494794351,0.0,2783.94091796875
C6,240,3,52.23756373265695,0.0,2807.7353515625
C6,270,1,83.12003166156745,0.0,2773.6123046875
C6,270,2,61.63844494794351,0.0,2783.94091796875
C6,270,3,52.23756373265695,0.0,2807.7353515625
C6,300,1,83.12003166156745,0.0,2773.6123046875
C6,300,2,61.63844494794351,0.0,2783.94091796875
C6,300,3,52.23756373265695,0.0,2807.7353515625
C6,330,1,83.12003166156745,0.0,2773.6123046875
C6,330,2,61.63844494794351,0.0,2783.94091796875
C6,330,3,52.23756373265695,0.0,2807.7353515625
C6,360,1,83.12003166156745,0.0,2773.6123046875
C6,360,2,61.63844494794351,0.0,2783.94091796875
C6,360,3,52.23756373265695,0.0,2807.7353515625
C6,390,1,83.12003166156745,0.0,2773.6123046875
C6,390,2,61.63844494794351,0.0,2783.94091796875
C6,390,3,52.23756373265695,0.0,2807.7353515625
C6,420,1,83.12003166156745,0.0,2773.6123046875
C6,420,2,61.63844494794351,0.0,2783.94091796875
C6,420,3,52.23756373265695,0.0,2807.7353515625
C6,450,1,83.12003166156745,0.0,2773.6123046875
C6,450,2,61.63844494794351,0.0,2783.94091796875
