distance_from_source_m,x,y,native_z,z32,z64
5660.0,351906.47130826995,3133194.215198495,3258.975830078125,3258.975830078125,3258.975830078125
5680.0,351892.3288335149,3133208.3569949795,3248.847900390625,3248.847900390625,3248.847900390625
5700.0,351878.1863587598,3133222.4987914637,3249.217529296875,3249.217529296875,3249.217529296875
5720.0,351864.04388400476,3133236.640587948,3239.026123046875,3239.026123046875,3239.026123046875
5740.0,351849.9014092497,3133250.7823844324,3242.371826171875,3242.371826171875,3242.371826171875
5760.0,351835.7589344947,3133264.9241809165,3229.80615234375,3229.80615234375,3229.80615234375
5780.0,351821.6164597396,3133279.0659774006,3234.715576171875,3234.715576171875,3234.715576171875
5800.0,351807.47398498456,3133293.207773885,3221.29833984375,3221.29833984375,3221.29833984375
5820.0,351793.3315102295,3133307.3495703693,3222.8203125,3222.8203125,3222.8203125
5840.0,351791.609257,3133326.6361655304,3222.8203125,3222.8203125,3222.8203125
5860.0,351791.609257,3133346.6361655304,3215.102294921875,3215.102294921875,3215.102294921875
5880.0,351791.609257,3133366.6361655304,3206.081787109375,3206.081787109375,3206.081787109375
5900.0,351791.609257,3133386.6361655304,3192.859375,3192.859375,3192.859375
5920.0,351791.609257,3133406.6361655304,3192.859375,3192.859375,3192.859375
5940.0,351791.609257,3133426.6361655304,3183.258056640625,3183.258056640625,3183.258056640625
5960.0,351791.609257,3133446.6361655304,3172.5556640625,3172.5556640625,3172.5556640625
